epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4280.51,0.47898,0.92721,1.1273,0.65295,0.65607,0.6935,0.55264,0.65747,0.85802,1.3304,0.000785938,0.000785938,0.000785938
77,4311.88,0.48698,0.90004,1.13285,0.54202,0.73519,0.68156,0.53642,0.67861,0.86879,1.37111,0.00077975,0.00077975,0.00077975
78,4342.92,0.48312,0.90789,1.1346,0.57991,0.72953,0.70535,0.56435,0.62732,0.85363,1.31735,0.000773563,0.000773563,0.000773563
79,4373.14,0.48077,0.87565,1.13101,0.57649,0.73244,0.70472,0.56097,0.65982,0.86965,1.34764,0.000767375,0.000767375,0.000767375
80,4403.12,0.48036,0.87521,1.12392,0.58843,0.69756,0.68903,0.55342,0.6433,0.88537,1.33364,0.000761188,0.000761188,0.000761188
81,4433.32,0.47534,0.88796,1.11556,0.63499,0.66522,0.6923,0.54842,0.64343,0.87544,1.33343,0.000755,0.000755,0.000755
82,4463.99,0.48213,0.873,1.12852,0.59852,0.71048,0.68584,0.54282,0.65029,0.90392,1.34461,0.000748813,0.000748813,0.000748813
83,4494.35,0.47947,0.89045,1.12284,0.66196,0.61163,0.68766,0.54068,0.64829,0.90107,1.34025,0.000742625,0.000742625,0.000742625
84,4524.34,0.47108,0.87091,1.12399,0.66687,0.7135,0.71215,0.57015,0.62743,0.86188,1.31358,0.000736438,0.000736438,0.000736438
85,4561.48,0.47282,0.87004,1.1181,0.62108,0.67277,0.68956,0.5658,0.63572,0.84229,1.30988,0.00073025,0.00073025,0.00073025
86,4628.47,0.46759,0.86087,1.11536,0.67054,0.63706,0.70576,0.56802,0.63535,0.85043,1.31892,0.000724062,0.000724062,0.000724062
87,4684.16,0.46618,0.84793,1.11564,0.64382,0.67368,0.69727,0.56356,0.63818,0.85486,1.34046,0.000717875,0.000717875,0.000717875
88,4774.92,0.46867,0.84177,1.11392,0.66874,0.67347,0.72479,0.58038,0.67229,0.85827,1.36388,0.000711687,0.000711687,0.000711687
89,4865.14,0.47602,0.85491,1.11385,0.69617,0.62288,0.72366,0.59332,0.6358,0.85103,1.31753,0.0007055,0.0007055,0.0007055
90,4957.79,0.47171,0.85053,1.11517,0.71503,0.66009,0.71499,0.59079,0.6272,0.84242,1.30437,0.000699312,0.000699312,0.000699312
91,5018.61,0.46882,0.83995,1.11095,0.62361,0.69912,0.70551,0.57229,0.63096,0.84665,1.31315,0.000693125,0.000693125,0.000693125
92,5105.11,0.46933,0.83739,1.11138,0.63852,0.73181,0.73879,0.59692,0.63831,0.82308,1.33301,0.000686937,0.000686937,0.000686937
93,5192.69,0.46285,0.83998,1.1038,0.65065,0.68351,0.71812,0.57881,0.64143,0.82232,1.33834,0.00068075,0.00068075,0.00068075
94,5257.24,0.44879,0.79258,1.09983,0.71354,0.67857,0.73699,0.60584,0.62954,0.80913,1.31961,0.000674562,0.000674562,0.000674562
95,5350.34,0.45408,0.82116,1.10624,0.74462,0.6484,0.75016,0.61367,0.63937,0.80468,1.33661,0.000668375,0.000668375,0.000668375
96,5391.41,0.45184,0.81403,1.10005,0.75719,0.65512,0.73362,0.59772,0.6253,0.82415,1.32627,0.000662188,0.000662188,0.000662188
97,5420.82,0.45695,0.7966,1.09934,0.66646,0.68644,0.7266,0.58754,0.65242,0.84245,1.33703,0.000656,0.000656,0.000656
98,5450.18,0.44751,0.8059,1.09889,0.66403,0.76549,0.74949,0.62009,0.62734,0.79377,1.30812,0.000649813,0.000649813,0.000649813
99,5480.21,0.44586,0.80021,1.09141,0.67898,0.73887,0.74344,0.6075,0.62276,0.83381,1.29371,0.000643625,0.000643625,0.000643625
100,5509.84,0.45361,0.81258,1.10112,0.73869,0.65312,0.74439,0.61165,0.61146,0.83243,1.29489,0.000637437,0.000637437,0.000637437
101,5539.13,0.44707,0.79367,1.09209,0.72573,0.69347,0.74966,0.61246,0.63855,0.81979,1.33396,0.00063125,0.00063125,0.00063125
102,5568.67,0.43689,0.78518,1.08643,0.70977,0.74072,0.76322,0.61795,0.63951,0.7821,1.32603,0.000625062,0.000625062,0.000625062
103,5598.43,0.45384,0.7915,1.09654,0.68528,0.70014,0.7424,0.6073,0.63262,0.79006,1.31681,0.000618875,0.000618875,0.000618875
104,5628.7,0.45725,0.79345,1.10076,0.70201,0.76348,0.77177,0.62846,0.64152,0.78879,1.32398,0.000612687,0.000612687,0.000612687
105,5658.88,0.45492,0.77919,1.09992,0.72725,0.70984,0.74115,0.59895,0.63292,0.80002,1.30882,0.0006065,0.0006065,0.0006065
106,5688.83,0.44882,0.78953,1.09799,0.73502,0.71736,0.74694,0.61088,0.61753,0.7859,1.29279,0.000600313,0.000600313,0.000600313
107,5718.76,0.44186,0.76747,1.09223,0.74471,0.69249,0.7749,0.62709,0.64419,0.77444,1.32393,0.000594125,0.000594125,0.000594125
108,5748.43,0.44198,0.77336,1.09168,0.73851,0.70754,0.77106,0.62714,0.63797,0.78835,1.32621,0.000587938,0.000587938,0.000587938
109,5778.59,0.43899,0.76826,1.08518,0.7652,0.67044,0.77142,0.63244,0.63845,0.78586,1.32836,0.00058175,0.00058175,0.00058175
110,5809.65,0.43745,0.74904,1.08811,0.7235,0.75433,0.76442,0.61442,0.63637,0.77314,1.32141,0.000575563,0.000575563,0.000575563
111,5839.72,0.44019,0.77053,1.08091,0.76604,0.72908,0.77108,0.62703,0.63503,0.77284,1.31461,0.000569375,0.000569375,0.000569375
112,5869.6,0.43831,0.76128,1.09238,0.68146,0.78254,0.77012,0.6249,0.64113,0.78531,1.31346,0.000563187,0.000563187,0.000563187
113,5899.21,0.43398,0.74475,1.08141,0.72572,0.70402,0.76625,0.61878,0.63337,0.79223,1.31503,0.000557,0.000557,0.000557
114,5929.13,0.43795,0.74575,1.08514,0.73533,0.73217,0.77617,0.63247,0.63486,0.77598,1.32571,0.000550813,0.000550813,0.000550813
115,5960.05,0.43376,0.74012,1.08366,0.68935,0.78196,0.77316,0.62864,0.62904,0.7556,1.30576,0.000544625,0.000544625,0.000544625
116,5989.9,0.43712,0.74252,1.08928,0.68748,0.7711,0.77057,0.63131,0.62325,0.75236,1.29065,0.000538438,0.000538438,0.000538438
117,6019.33,0.42255,0.72529,1.07162,0.70368,0.79239,0.76518,0.62927,0.63556,0.74828,1.31552,0.00053225,0.00053225,0.00053225
118,6048.89,0.42609,0.73455,1.07443,0.69176,0.75883,0.76773,0.62487,0.62969,0.73501,1.30506,0.000526063,0.000526063,0.000526063
119,6079.14,0.43272,0.73137,1.07552,0.72446,0.71218,0.76123,0.63204,0.62535,0.76085,1.30181,0.000519875,0.000519875,0.000519875
120,6109.12,0.431,0.73733,1.08289,0.74887,0.73484,0.77549,0.63197,0.61962,0.72375,1.29441,0.000513688,0.000513688,0.000513688
121,6138.91,0.43382,0.73619,1.08294,0.7342,0.74678,0.77918,0.63812,0.61793,0.73741,1.29004,0.0005075,0.0005075,0.0005075
122,6169.71,0.41863,0.71277,1.06631,0.75165,0.70052,0.78071,0.63711,0.62579,0.75704,1.30482,0.000501313,0.000501313,0.000501313
123,6199.84,0.42813,0.70371,1.0816,0.77364,0.69369,0.7611,0.62035,0.62706,0.76529,1.3193,0.000495125,0.000495125,0.000495125
124,6229.34,0.42017,0.7102,1.06899,0.71112,0.7516,0.76588,0.62408,0.61107,0.75173,1.29716,0.000488938,0.000488938,0.000488938
125,6259.13,0.4092,0.70213,1.05935,0.77272,0.6984,0.77414,0.63566,0.61626,0.74399,1.28887,0.00048275,0.00048275,0.00048275
126,6288.83,0.42609,0.70312,1.06744,0.73685,0.70852,0.77358,0.63154,0.61556,0.75285,1.29227,0.000476562,0.000476562,0.000476562
127,6318.47,0.42677,0.68759,1.07417,0.73035,0.72457,0.7649,0.62243,0.62451,0.76354,1.30485,0.000470375,0.000470375,0.000470375
